Lane #, Band #, Peak Rf, Peak value, Raw volume, Cal. volume, MW
1, 1, 0.489, 40, 354, -, 451
1, 2, 0.543, 37, 430, -, 349
1, 3, 0.881, 90, 1104, -, 80
2, 1, 0.539, 38, 422, -, 356
2, 2, 0.877, 104, 1044, -, 82
3, 1, 0.474, 114, 924, -, 485
3, 2, 0.87, 244, 6041, -, 84
4, 1, 0.466, 70, 637, -, 503
4, 2, 0.5, 66, 483, -, 427
4, 3, 0.862, 241, 4531, -, 86
5, 1, 0.543, 50, 551, -, 349
5, 2, 0.858, 242, 4674, -, 88
6, 1, 0.447, 72, 545, -, 552
6, 2, 0.543, 101, 714, -, 349
6, 3, 0.847, 248, 5169, -, 92
7, 1, 0.481, 101, 1111, -, 467
7, 2, 0.839, 243, 5767, -, 95
8, 1, 0.477, 92, 736, -, 476
8, 2, 0.527, 93, 678, -, 376
8, 3, 0.831, 239, 4859, -, 98
9, 1, 0.42, 65, 523, -, 628
9, 2, 0.45, 58, 368, -, 541
9, 3, 0.824, 240, 4619, -, 101
10, 1, 0.416, 56, 467, -, 639
10, 2, 0.504, 70, 503, -, 419
10, 3, 0.816, 219, 2052, -, 104
11, 1, 0.243, 146, 767, -, 1500
11, 2, 0.32, 118, 519, -, 1000
11, 3, 0.343, 175, 861, -, 900
11, 4, 0.366, 165, 720, -, 800
11, 5, 0.397, 135, 710, -, 700
11, 6, 0.431, 127, 640, -, 600
11, 7, 0.474, 225, 1117, -, 500
11, 8, 0.52, 90, 554, -, 400
11, 9, 0.589, 89, 609, -, 300
11, 10, 0.67, 98, 615, -, 200
11, 11, 0.77, 57, 454, -, 100
